INFO  [2022-12-02 00:01:22,646] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:22,647] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:27,647] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:27,647] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:32,647] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:32,647] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:37,647] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:37,647] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:42,647] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:42,647] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:47,648] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:47,648] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:52,648] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:52,648] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:57,648] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:01:57,648] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:02,648] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:02,648] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:07,649] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:07,649] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:12,649] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:12,649] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:17,649] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:17,649] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:22,649] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:22,649] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:27,650] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:27,650] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:32,650] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:32,650] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:37,650] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:37,650] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:42,650] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:42,651] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:47,651] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:47,651] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:52,651] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:52,651] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:57,651] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:02:57,651] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:02,651] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:02,652] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:07,652] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:07,652] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:12,652] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:12,652] vn.supperapp.apigw.process.ProcessMonitorThread: #AppPushNotificationExecutor: [10/100] Active: 0, Completed: 10, Task: 10, isShutdown: false, isTerminated: false
INFO  [2022-12-02 00:03:17,652] vn.supperapp.apigw.process.ProcessMonitorThread: #SendSmsExecutor: [0/100] Active: 0, Completed: 0, Task: 0, isShutdown: false, isTerminated: false
